Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player_left,0.9342806083117248,0.9552685321199527,0.9446580098850289,53325.0,3751.0,2497.0,55822
goalkeeper_left,0.7912408759124088,0.3843971631205674,0.5174224343675418,542.0,143.0,868.0,1410
player_right,0.9429207060619347,0.9696251148033731,0.956086476874187,58066.0,3515.0,1819.0,59885
goalkeeper_right,0.8920127795527156,0.932220367278798,0.9116734693877552,2792.0,338.0,203.0,2995
ball,0.47150259067357514,0.47066646963203784,0.47108415914805507,3185.0,3570.0,3582.0,6767
referee,0.9346860576504398,0.9560840905041867,0.9452639922497688,10733.0,750.0,493.0,11226
other,0.7469066366704162,0.5612848689771767,0.6409266409266409,664.0,225.0,519.0,1183
OVERALL_MICRO,0.9131914773409416,0.9283427143759693,0.9207047673975655,129307.0,12292.0,9981.0,139288
OVERALL_MACRO,0.8162214649761736,0.7470780866337275,0.7695878832627111,,,,139288
OVERALL_WEIGHTED,0.9115966973102202,0.9283427143759693,0.9189990671619548,,,,139288
