Class,Precision,Recall,F1-Score,TP,FP,FN,Support
player_left,0.9090483071035264,0.8340080971659919,0.8699129264920213,46556.0,4658.0,9266.0,55822
goalkeeper_left,0.8145580589254766,0.3333333333333333,0.4730749874182184,470.0,107.0,940.0,1410
player_right,0.8156752366549039,0.9726809718627369,0.8872860766049492,58249.0,13163.0,1636.0,59885
goalkeeper_right,0.7040721168790799,0.7562604340567612,0.7292337411461688,2265.0,952.0,730.0,2995
ball,0.6078047042052744,0.5040638392197428,0.5510945956862429,3411.0,2201.0,3356.0,6767
referee,0.9173638381423938,0.9572421165152325,0.9368788142981692,10746.0,968.0,480.0,11226
other,0.7733333333333333,0.9805579036348268,0.8647036898993664,1160.0,340.0,23.0,1183
OVERALL_MICRO,0.8458546190600774,0.8820357819769111,0.8635663927685269,122857.0,22389.0,16431.0,139288
OVERALL_MACRO,0.7916936564634269,0.7625923851126607,0.7588835473635909,,,,139288
OVERALL_WEIGHTED,0.8484221412686426,0.8820357819769111,0.8602040378969363,,,,139288
